,show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in,listed_in1,listed_in2,listed_in3,duration_seasons
6898,s1619,TV Show,Octonauts,Not Given,United States,2020-12-01,2015,TV-Y,4 Seasons,"British TV Shows, Kids' TV",British TV Shows, Kids' TV,0,
6899,s1393,TV Show,Daughter From Another Mother,Not Given,Mexico,2021-01-20,2021,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Comedies",International TV Shows, Spanish-Language TV Shows, TV Comedies,
6900,s1395,TV Show,Spycraft,Not Given,United States,2021-01-20,2021,TV-MA,1 Season,"Docuseries, Science & Nature TV",Docuseries, Science & Nature TV,0,
6901,s1396,TV Show,Hello Ninja,Not Given,United States,2021-01-19,2021,TV-Y,4 Seasons,Kids' TV,Kids' TV,0,0,
6902,s1401,TV Show,Bling Empire,Not Given,United States,2021-01-15,2021,TV-MA,1 Season,Reality TV,Reality TV,0,0,
6903,s1402,TV Show,Carmen Sandiego,Not Given,United States,2021-01-15,2021,TV-Y7,4 Seasons,"Kids' TV, TV Thrillers",Kids' TV, TV Thrillers,0,
6904,s1403,TV Show,Disenchantment,Not Given,United States,2021-01-15,2021,TV-14,3 Seasons,"TV Action & Adventure, TV Comedies, TV Sci-Fi & Fantasy",TV Action & Adventure, TV Comedies, TV Sci-Fi & Fantasy,
6905,s1409,TV Show,The Magicians,Not Given,United States,2021-01-15,2020,TV-MA,5 Seasons,"TV Dramas, TV Sci-Fi & Fantasy",TV Dramas, TV Sci-Fi & Fantasy,0,
6907,s1428,TV Show,Inside the World’s Toughest Prisons,Not Given,United Kingdom,2021-01-08,2021,TV-MA,5 Seasons,"British TV Shows, Crime TV Shows, Docuseries",British TV Shows, Crime TV Shows, Docuseries,
6908,s1430,TV Show,Mighty Little Bheem: Kite Festival,Not Given,India,2021-01-08,2021,TV-Y,1 Season,"Kids' TV, TV Comedies",Kids' TV, TV Comedies,0,
6909,s1431,TV Show,Pretend It’s a City,Not Given,United States,2021-01-08,2021,TV-14,1 Season,Docuseries,Docuseries,0,0,
6911,s1438,TV Show,Surviving Death,Not Given,United States,2021-01-06,2021,TV-MA,1 Season,"Docuseries, Reality TV",Docuseries, Reality TV,0,
6912,s1440,TV Show,History of Swear Words,Not Given,United States,2021-01-05,2021,TV-MA,1 Season,"Docuseries, TV Comedies",Docuseries, TV Comedies,0,
6913,s1441,TV Show,Nailed It! Mexico,Not Given,Mexico,2021-01-05,2021,TV-PG,3 Seasons,"International TV Shows, Reality TV, Spanish-Language TV Shows",International TV Shows, Reality TV, Spanish-Language TV Shows,
6914,s1444,TV Show,QB1: Beyond the Lights,Not Given,United States,2021-01-04,2019,TV-14,1 Season,Docuseries,Docuseries,0,0,
6915,s1449,TV Show,Cobra Kai,Not Given,United States,2021-01-01,2021,TV-14,3 Seasons,"TV Action & Adventure, TV Comedies, TV Dramas",TV Action & Adventure, TV Comedies, TV Dramas,
6916,s1450,TV Show,Dream Home Makeover,Not Given,United States,2021-01-01,2021,TV-G,2 Seasons,Reality TV,Reality TV,0,0,
6917,s1456,TV Show,Headspace Guide to Meditation,Not Given,United States,2021-01-01,2021,TV-G,1 Season,"Docuseries, Science & Nature TV",Docuseries, Science & Nature TV,0,
6918,s1458,TV Show,Jenni Rivera: Mariposa de Barrio,Not Given,United States,2021-01-01,2017,TV-MA,1 Season,"Spanish-Language TV Shows, TV Dramas",Spanish-Language TV Shows, TV Dramas,0,
6919,s1620,TV Show,Oddbods,Not Given,United Kingdom,2020-12-01,2017,TV-Y,1 Season,"Kids' TV, TV Comedies",Kids' TV, TV Comedies,0,
6920,s1461,TV Show,Monarca,Not Given,Mexico,2021-01-01,2021,TV-MA,2 Seasons,"International TV Shows, Spanish-Language TV Shows, TV Dramas",International TV Shows, Spanish-Language TV Shows, TV Dramas,
6921,s1466,TV Show,The Haunted Hathaways,Not Given,United States,2021-01-01,2013,TV-G,2 Seasons,"Kids' TV, TV Comedies, TV Sci-Fi & Fantasy",Kids' TV, TV Comedies, TV Sci-Fi & Fantasy,
6923,s1474,TV Show,Chilling Adventures of Sabrina,Not Given,United States,2020-12-31,2020,TV-14,4 Seasons,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",TV Horror, TV Mysteries, TV Sci-Fi & Fantasy,
6924,s1477,TV Show,Best Leftovers Ever!,Not Given,United States,2020-12-30,2020,TV-G,1 Season,Reality TV,Reality TV,0,0,
6925,s1478,TV Show,Dare Me,Not Given,United States,2020-12-30,2019,TV-MA,1 Season,"Crime TV Shows, TV Dramas, TV Thrillers",Crime TV Shows, TV Dramas, TV Thrillers,
6926,s1479,TV Show,Equinox,Not Given,Denmark,2020-12-30,2020,TV-MA,1 Season,"International TV Shows, TV Mysteries, TV Thrillers",International TV Shows, TV Mysteries, TV Thrillers,
6927,s1481,TV Show,Still Game,Not Given,United Kingdom,2020-12-30,2018,TV-14,9 Seasons,"British TV Shows, Classic & Cult TV, International TV Shows",British TV Shows, Classic & Cult TV, International TV Shows,
6928,s1484,TV Show,A Love So Beautiful,Not Given,South Korea,2020-12-28,2020,TV-PG,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",International TV Shows, Romantic TV Shows, TV Comedies,
6929,s1488,TV Show,Sakho & Mangane,Not Given,Senegal,2020-12-27,2019,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",Crime TV Shows, International TV Shows, TV Dramas,
6930,s1490,TV Show,Regiment Diaries,Not Given,India,2020-12-26,2020,TV-PG,2 Seasons,"Docuseries, International TV Shows",Docuseries, International TV Shows,0,
6931,s1493,TV Show,Bridgerton,Not Given,United States,2020-12-25,2020,TV-MA,1 Season,"Romantic TV Shows, TV Dramas",Romantic TV Shows, TV Dramas,0,
6932,s1504,TV Show,Lovestruck in the City,Not Given,South Korea,2020-12-22,2020,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",International TV Shows, Romantic TV Shows, TV Comedies,
6933,s1506,TV Show,Rhyme Time Town Singalongs,Not Given,United States,2020-12-22,2020,TV-Y,1 Season,Kids' TV,Kids' TV,0,0,
6934,s1689,TV Show,We Are the Champions,Not Given,United States,2020-11-17,2020,TV-MA,1 Season,"Docuseries, Reality TV",Docuseries, Reality TV,0,
6935,s1507,TV Show,Shaun the Sheep,Not Given,United Kingdom,2020-12-22,2016,TV-Y,2 Seasons,"British TV Shows, Kids' TV, TV Comedies",British TV Shows, Kids' TV, TV Comedies,
